john-bolton | John Bolton
lisa-brunner | Lisa Brunner
lisa-nelson | Lisa Nelson
liz-fowler | Liz Fowler
lloyd-jowers | Lloyd Jowers
lon-nol | Lon Nol
lou-pai | Lou Pai
lyman-lemnitzer | Lyman Lemnitzer
lyndon-johnson | Lyndon B. Johnson
lynn-fitch | Lynn Fitch
mahendra-amin | Mahendra Amin
mamie-till-mobley | Mamie Till-Mobley
mandrel-stuart | Mandrel Stuart
marc-cisneros | General Marc Cisneros
marc-edwards | Marc Edwards
marc-short | Marc Short
marcus-agius | Marcus Agius
margaret-chase-smith | Margaret Chase Smith
margaret-sanger | Margaret Sanger
marjorie-dannenfelser | Marjorie Dannenfelser
mark-brnovich | Mark Brnovich
mark-clark | Mark Clark
mark-lane | Mark Lane
mark-madoff | Mark Madoff
marshall-green | Marshall Green
martin-tabert | Martin Tabert
martin-wheatley | Martin Wheatley
mary-alice-relf | Mary Alice Relf
mary-kathryn-nagle | Mary Kathryn Nagle
mary-turner | Mary Turner
matthias-mueller | Matthias Müller
maude-devictor | Maude DeVictor
maura-healey | Maura Healey
maurice-bishop | Maurice Bishop
mauricio-rodriguez-sanchez | Mauricio Rodríguez Sánchez
max-baucus | Max Baucus
maxwell-thurman | General Maxwell Thurman
mcgeorge-bundy | McGeorge Bundy
medgar-evers | Medgar Evers
mervyn-king | Mervyn King
michael-friedman | Michael Friedman
michael-oliver | Michael Oliver
michael-powell | Michael D. Powell
michael-regan | Michael Regan
michael-townley | Michael Townley
michel-martelly | Michel Martelly
miguel-cardona | Miguel Cardona
mike-moore | Mike Moore
mike-williams | Mike Williams
minnie-lee-relf | Minnie Lee Relf
mohamed-farrah-aidid | Mohamed Farrah Aidid
mona-hanna-attisha | Mona Hanna-Attisha
moses-wright | Moses Wright
muammar-gaddafi | Muammar Gaddafi
muhammad-abdul-aziz | Muhammad Abdul Aziz (Norman 3X Butler)
mujahid-abdul-halim | Mujahid Abdul Halim (Talmadge Hayer)
naomi-oreskes | Naomi Oreskes
nathan-bedford-forrest | Nathan Bedford Forrest
nathan-wessler | Nathan Wessler
nawar-al-awlaki | Nawar al-Awlaki
nawaz-sharif | Nawaz Sharif
neil-bush | Neil Bush
neil-sheehan | Neil Sheehan
nelson-brickham | Nelson Brickham
nelson-mandela | Nelson Mandela
nematollah-nassiri | Nematollah Nassiri
nguyen-viet-nhan | Nguyen Viet Nhan
nicolas-sarkozy | Nicolas Sarkozy
nicole-smith-holt | Nicole Smith-Holt
nijeer-parks | Nijeer Parks
nishad-singh | Nishad Singh
norman-schwarzkopf | General Norman Schwarzkopf
norodom-sihanouk | Prince Norodom Sihanouk
oliver-schmidt | Oliver Schmidt
oliver-wendell-holmes | Oliver Wendell Holmes Jr.
orlando-letelier | Orlando Letelier
orval-faubus | Orval Faubus
orville-kelly | Orville Kelly
oscar-danilo-blandon | Oscar Danilo Bland\u00F3n
oscar-romero | Óscar Romero
otto-perez-molina | Otto Pérez Molina
pamela-foster | Pamela Foster
paul-goldenheim | Paul Goldenheim
paul-kagame | Paul Kagame
paul-popenoe | Paul Popenoe
paul-schrade | Paul Schrade
paul-tucker | Paul Tucker
paul-weyrich | Paul Weyrich
pelican-bay-prisoners | Pelican Bay Prisoners
pete-arredondo | Pete Arredondo
peter-madoff | Peter Madoff
peter-neufeld | Peter Neufeld
petro-poroshenko | Petro Poroshenko
phil-berger | Phil Berger
phil-bryant | Phil Bryant
philip-sheridan | Philip Sheridan
philippe-moryoussef | Philippe Moryoussef
pol-pot | Pol Pot
porcha-woodruff | Porcha Woodruff
prudence-bushnell | Prudence Bushnell
pw-botha | P.W. Botha
ralph-abernathy | Ralph Abernathy
ramon-fonseca | Ramón Fonseca
ramona-africa | Ramona Africa
randall-robinson | Randall Robinson
randy-weaver | Randy Weaver
rashida-richardson | Rashida Richardson
ray-sitton | Ray Sitton
ray-wood | Ray Wood
raymond-bonner | Raymond Bonner
rc-arnold | Dr. R.C. Arnold
rebecca-mark | Rebecca Mark
red-fawn-fallis | Red Fawn Fallis
reinhard-gehlen | Reinhard Gehlen
rene-schneider | René Schneider
ricardo-sanchez | Lt. Gen. Ricardo Sanchez
richard-cordray | Richard Cordray
richard-dorenkamp | Richard Dorenkamp
richard-henry-pratt | Richard Henry Pratt
richard-rogers | Richard Rogers
richard-rothstein | Richard Rothstein
richard-schwartz | Richard Schwartz
richard-secord | Richard Secord
rick-dearborn | Rick Dearborn
rigoberta-menchu | Rigoberta Menchú
rj-lehmann | R.J. Lehmann
rob-bilott | Rob Bilott
robert-bilott | Robert Bilott
robert-crants | Robert Crants
robert-dudley | Robert Dudley
robert-gates | Robert Gates
robert-houghton | Robert Houghton
robert-hugin | Robert Hugin
robert-kaluza | Robert Kaluza
robert-kehoe | Robert Kehoe
robert-king | Robert King
robert-komer | Robert Komer
robert-martens | Robert J. Martens
robert-mcfarlane | Robert McFarlane
robert-moses | Robert Moses
robert-scherrer | Robert Scherrer
robert-taft | Robert Taft
robert-taylor | Robert Taylor
robert-weaver | Robert Weaver
robert-williams | Robert Williams
roberta-kaplan | Roberta Kaplan
roberto-daubuisson | Roberto D\
robin-arkley-ii | Robin Arkley II
robin-vos | Robin Vos
roger-noriega | Roger Noriega
roger-severino | Roger Severino
romeo-dallaire | Roméo Dallaire
ron-wyden | Senator Ron Wyden
roy-bourgeois | Roy Bourgeois
roy-bryant | Roy Bryant
roy-mitchell | Roy Martin Mitchell
rufina-amaya | Rufina Amaya
russell-pearce | Russell Pearce
russell-portenoy | Russell Portenoy
ruth-bader-ginsburg | Ruth Bader Ginsburg
ruth-madoff | Ruth Madoff
ruth-riddle | Ruth Riddle
ryan-crocker | Ryan Crocker
ryan-salame | Ryan Salame
sam-walton | Sam Walton
sam-zemurray | Sam Zemurray
samuel-koster | Samuel Koster
samuel-weaver | Samuel Weaver
sandra-bland | Sandra Bland
sarah-page | Sarah Page
sarwo-edhie-wibowo | Sarwo Edhie Wibowo
savanna-lafontaine-greywind | Savanna LaFontaine-Greywind
scott-ellsworth | Scott Ellsworth
scott-lloyd | Scott Lloyd
scott-walker | Scott Walker
seymour-hersh | Seymour Hersh
sheldon-whitehouse | Sheldon Whitehouse
shelley-family | Shelley v. Kraemer Plaintiffs
sherrilyn-ifill | Sherrilyn Ifill
sherron-watkins | Sherron Watkins
sigmundur-gunnlaugsson | Sigmundur Davíð Gunnlaugsson
sirhan-sirhan | Sirhan Bishara Sirhan
smedley-butler | Smedley Butler
stafford-warren | Stafford Warren
stanley-mcchrystal | Stanley McChrystal
stefano-delle-chiaie | Stefano Delle Chiaie
stephen-hemsley | Stephen Hemsley
stephen-townsend | General Stephen Townsend
stephen-ubl | Stephen Ubl
stewart-udall | Stewart Udall
stuart-appelbaum | Stuart Appelbaum
stuart-johnson | Stuart Johnson
stuart-symington | Stuart Symington
suharto | Suharto
sukarno | Sukarno
susan-reverby | Susan Reverby
susan-rice | Susan Rice
suzanne-scott | Suzanne Scott
tamika-palmer | Tamika Palmer
tamir-rice | Tamir Rice
tarla-makaeff | Tarla Makaeff
ted-henifin | Ted Henifin
ted-shackley | Ted Shackley
terrell-don-hutto | Terrell Don Hutto
terry-dehko | Terry Dehko
terry-farr | Terry Farr
thad-allen | Thad Allen
thane-cesar | Thane Eugene Cesar
theodore-bilbo | Theodore Bilbo
theoneste-bagosora | Théoneste Bagosora
thomas-beasley | Thomas Beasley
thomas-curry | Thomas Curry
thomas-dobbs | Thomas Dobbs
thomas-drake | Thomas Drake
thomas-enders | Thomas Enders
thomas-hofeller | Thomas Hofeller
thomas-jackson | Thomas Jackson
thomas-jefferson | Thomas Jefferson
thomas-midgley | Thomas Midgley Jr.
thomas-morgan | Thomas Morgan
thomas-murray | Thomas Murray
thomas-noguchi | Thomas Noguchi
thomas-pappas | Col. Thomas Pappas
thomas-parran | Surgeon General Thomas Parran
thomas-silverstein | Thomas Silverstein
thomas-stephens | Thomas Stephens
thomas-stroock | Thomas Stroock
thomas-waldhauser | General Thomas Waldhauser
tim-moore | Tim Moore
tim-phillips | Tim Phillips
tim-russ | Tim Russ
tim-walberg | Tim Walberg
timothy-mellon | Timothy Mellon
timothy-olson | Timothy Olson
timothy-purdon | Timothy Purdon
timothy-sloan | Timothy Sloan
timothy-tyson | Timothy Tyson
tom-harkin | Tom Harkin
tom-hayes | Tom Hayes
tom-saffer | Tom Saffer
ton-that-tung | Ton That Tung
tree-africa | Tree Africa
tyler-shultz | Tyler Shultz
vang-pao | Vang Pao
vernon-walters | Vernon Walters
vicki-weaver | Vicki Weaver
victor-denoble | Victor DeNoble
victor-hugo-green | The Green Book Publishers
vincenzo-vinciguerra | Vincenzo Vinciguerra
viola-fletcher | Viola Fletcher
vladimiro-montesinos | Vladimiro Montesinos
walter-mcmillian | Walter McMillian
walter-schreiber | Walter Schreiber
walter-white-naacp | Walter White
warren-anderson | Warren Anderson
wendell-potter | Wendell Potter
wernher-von-braun | Wernher von Braun
wesley-lowery | Wesley Lowery
wilbur-tennant | Wilbur Tennant
william-colby | William Colby
william-craig | William H. Craig
william-degan | William Degan
william-harper | William Harper
william-levitt | William Levitt
william-lowe | William Lowe
william-newell | William Newell
william-pepper | William Pepper
william-rogers | William Rogers
william-sullivan | William Sullivan
william-tecumseh-sherman | William Tecumseh Sherman
william-westmoreland | William Westmoreland
willie-reed | Willie Reed
wilson-goode | Wilson Goode
winston-churchill | Winston Churchill
woodrow-wilson | Woodrow Wilson
xanana-gusmao | Xanana Gusmão
alan-cranston | Alan Cranston
alvaro-colom | Álvaro Colom
bethany-mclean | Bethany McLean
bob-crowley | Bob Crowley
bounkham-phonesavanh | Bounkham Phonesavanh
carrie-tolstedt | Carrie Tolstedt
cathy-oneil | Cathy O\
chester-crocker | Chester Crocker
damian-williams | Damian Williams
dave-clark | Dave Clark
dave-grossman | Dave Grossman
david-niekerk | David Niekerk
dick-carpenter | Dick Carpenter
dillon-s-myer | Dillon S. Myer
donald-wilber | Donald Wilber
douglas-lute | Douglas Lute
e-howard-hunt | E. Howard Hunt
edmund-richardson | Edmund Richardson
edward-korry | Edward Korry
edwin-meese | Edwin Meese
ernest-medina | Ernest Medina
eugenia-charles | Eugenia Charles
fazlollah-zahedi | Fazlollah Zahedi
francis-biddle | Francis Biddle
francois-duvalier | François Duvalier
freeway-ricky-ross | Freeway Ricky Ross
g-gordon-liddy | G. Gordon Liddy
gary-sick | Gary Sick
geoffrey-miller | Geoffrey Miller
george-w-cable | George Washington Cable
george-wallace | George Wallace
gordon-hirabayashi | Gordon Hirabayashi
henry-stimson | Henry Stimson
hubertus-strughold | Hubertus Strughold
james-bamford | James Bamford
james-earl-ray | James Earl Ray
jean-claude-duvalier | Jean-Claude Duvalier
john-l-dewitt | John L. DeWitt
john-oliver | John Oliver
john-sopko | John Sopko
karl-bendetsen | Karl Bendetsen
leon-panetta | Leon Panetta
mark-hyman | Mark Hyman
mark-ruffalo | Mark Ruffalo
matthew-albence | Matthew Albence
michelle-alexander | Michelle Alexander
mike-masaoka | Mike Masaoka
minoru-yasui | Minoru Yasui
norman-mineta | Norman Mineta
norwin-meneses | Norwin Meneses
radley-balko | Radley Balko
richard-fink | Richard Fink
robert-mckee | Robert McKee
ron-watkins | Ron Watkins
ruha-benjamin | Ruha Benjamin
samantha-power | Samantha Power
sandra-day-oconnor | Sandra Day O\
sandra-serrano | Sandra Serrano
scott-fitzgerald | Scott Fitzgerald
scott-livingston | Scott Livingston
sergio-arellano-stark | Sergio Arellano Stark
sister-helen-prejean | Sister Helen Prejean
stephen-cambone | Stephen Cambone
sunny-balwani | Sunny Balwani
susan-collins | Susan Collins
theodore-roosevelt | Theodore Roosevelt
thomas-corcoran | Thomas Corcoran
tim-geithner | Tim Geithner
ulysses-s-grant | Ulysses S. Grant
warren-christopher | Warren Christopher
william-binney | William Binney
william-black | William Black
william-bratton | William Bratton
william-richmond | William Richmond
william-shawcross | William Shawcross
nasser-al-awlaki | Nasser al-Awlaki
robert-rubin | Robert Rubin
josef-mengele | Josef Mengele
martin-van-buren | Martin Van Buren
winfield-scott | Winfield Scott
christopher-dodd | Christopher Dodd
henry-paulson | Henry Paulson
rutherford-b-hayes | Rutherford B. Hayes
queen-isabella | Queen Isabella I of Castile
bartolome-de-las-casas | Bartolomé de las Casas
chris-krebs | Chris Krebs
michael-fanone | Michael Fanone
